"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,11730,21.1973
0,11745,21.17891
0,11760,21.16052
0,11775,21.14216
0,11790,21.12381
0,11805,21.10547
0,11820,21.08715
0,11835,21.06885
0,11850,21.05057
0,11865,21.0323
0,11880,21.01404
0,11895,20.9958
0,11910,20.97758
0,11925,20.95937
0,11940,20.94118
0,11955,20.92301
0,11970,20.90485
0,11985,20.8867
0,12000,20.86858
0,12015,20.85046
0,12030,20.83237
0,12045,20.81429
0,12060,20.79622
0,12075,20.77817
0,12090,20.76014
0,12105,20.74212
0,12120,20.72412
0,12135,20.70613
0,12150,20.68816
0,12165,20.6702
0,12180,20.65227
0,12195,20.63434
0,12210,20.61643
0,12225,20.59854
0,12240,20.58066
0,12255,20.5628
0,12270,20.54495
0,12285,20.52712
0,12300,20.50931
0,12315,20.49151
0,12330,20.47372
0,12345,20.45595
0,12360,20.4382
0,12375,20.42046
0,12390,20.40274
0,12405,20.38503
0,12420,20.36734
0,12435,20.34966
0,12450,20.332
0,12465,20.31436
0,12480,20.29673
0,12495,20.27911
0,12510,20.26151
0,12525,20.24393
0,12540,20.22636
0,12555,20.2088
0,12570,20.19126
0,12585,20.17374
0,12600,20.15623
0,12615,20.13874
0,12630,20.12126
0,12645,20.1038
0,12660,20.08635
0,12675,20.06892
0,12690,20.0515
0,12705,20.0341
0,12720,20.01671
0,12735,19.99934
0,12750,19.98198
0,12765,19.96464
0,12780,19.94732
0,12795,19.93
0,12810,19.91271
0,12825,19.89543
0,12840,19.87816
0,12855,19.86091
0,12870,19.84367
0,12885,19.82645
0,12900,19.80924
0,12915,19.79205
0,12930,19.77487
0,12945,19.75771
0,12960,19.74057
0,12975,19.72343
0,12990,19.70632
0,13005,19.68921
0,13020,19.67213
0,13035,19.65505
0,13050,19.638
0,13065,19.62095
0,13080,19.60393
0,13095,19.58691
0,13110,19.56991
0,13125,19.55293
0,13140,19.53596
0,13155,19.51901
0,13170,19.50207
0,13185,19.48514
0,13200,19.46823
0,13215,19.45134
0,13230,19.43446
0,13245,19.41759
0,13260,19.40074
0,13275,19.3839
0,13290,19.36708
0,13305,19.35027
0,13320,19.33348
0,13335,19.3167
0,13350,19.29994
0,13365,19.28319
0,13380,19.26645
0,13395,19.24973
0,13410,19.23303
0,13425,19.21634
0,13440,19.19966
0,13455,19.183
0,13470,19.16635
0,13485,19.14972
0,13500,19.1331
0,13515,19.11649
0,13530,19.0999
0,13545,19.08333
0,13560,19.06677
0,13575,19.05022
0,13590,19.03369
0,13605,19.01717
0,13620,19.00067
0,13635,18.98418
0,13650,18.9677
0,13665,18.95124
0,13680,18.9348
0,13695,18.91836
0,13710,18.90195
0,13725,18.88554
0,13740,18.86915
0,13755,18.85278
0,13770,18.83642
0,13785,18.82007
0,13800,18.80374
0,13815,18.78742
0,13830,18.77111
0,13845,18.75482
0,13860,18.73855
0,13875,18.72229
0,13890,18.70604
0,13905,18.68981
0,13920,18.67359
0,13935,18.65738
0,13950,18.64119
0,13965,18.62501
0,13980,18.60885
0,13995,18.5927
0,14010,18.57656
0,14025,18.56044
0,14040,18.54434
0,14055,18.52824
0,14070,18.51217
0,14085,18.4961
0,14100,18.48005
0,14115,18.46401
0,14130,18.44799
0,14145,18.43198
0,14160,18.41598
0,14175,18.4
0,14190,18.38404
0,14205,18.36808
0,14220,18.35214
0,14235,18.33621
0,14250,18.3203
0,14265,18.3044
0,14280,18.28852
0,14295,18.27265
0,14310,18.25679
0,14325,18.24095
0,14340,18.22512
0,14355,18.2093
0,14370,18.1935
0,14385,18.17771
0,14400,18.16194
0,14415,18.14618
0,14430,18.13043
0,14445,18.11469
0,14460,18.09897
0,14475,18.08327
0,14490,18.06758
0,14505,18.0519
0,14520,18.03623
0,14535,18.02058
0,14550,18.00494
0,14565,17.98932
0,14580,17.97371
0,14595,17.95811
0,14610,17.94252
0,14625,17.92695
0,14640,17.9114
0,14655,17.89585
0,14670,17.88032
0,14685,17.86481
0,14700,17.8493
0,14715,17.83381
0,14730,17.81834
0,14745,17.80287
0,14760,17.78742
0,14775,17.77199
0,14790,17.75657
0,14805,17.74116
0,14820,17.72576
0,14835,17.71038
0,14850,17.69501
0,14865,17.67966
0,14880,17.66431
0,14895,17.64898
0,14910,17.63367
0,14925,17.61836
0,14940,17.60308
0,14955,17.5878
0,14970,17.57254
0,14985,17.55729
0,15000,17.54205
0,15015,17.52683
0,15030,17.51162
0,15045,17.49642
0,15060,17.48124
0,15075,17.46607
0,15090,17.45091
0,15105,17.43577
0,15120,17.42064
0,15135,17.40552
0,15150,17.39042
0,15165,17.37533
0,15180,17.36025
0,15195,17.34518
0,15210,17.33013
0,15225,17.31509
0,15240,17.30007
0,15255,17.28505
0,15270,17.27005
0,15285,17.25507
0,15300,17.24009
0,15315,17.22513
0,15330,17.21018
0,15345,17.19525
0,15360,17.18033
0,15375,17.16542
0,15390,17.15052
0,15405,17.13564
0,15420,17.12077
0,15435,17.10591
0,15450,17.09107
0,15465,17.07624
0,15480,17.06142
0,15495,17.04661
0,15510,17.03182
0,15525,17.01704
0,15540,17.00227
0,15555,16.98752
0,15570,16.97278
0,15585,16.95805
0,15600,16.94333
0,15615,16.92863
0,15630,16.91394
0,15645,16.89926
0,15660,16.8846
0,15675,16.86995
0,15690,16.85531
0,15705,16.84068
