"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Whole Blood (Peripheral Venous Blood) [µmol/l]"
8,3,8.507393E-07
8,6,3.560817E-05
8,9,0.0002409419
8,12,0.0008657785
8,15,0.002251626
8,18,0.004791372
8,21,0.00886707
8,24,0.01478448
8,27,0.02272634
8,30,0.03273668
8,33,0.04473319
8,36,0.05853636
8,39,0.07390385
8,42,0.09056161
8,45,0.1082276
8,48,0.1266286
8,51,0.145511
8,54,0.1646463
8,57,0.1838333
8,60,0.202899
8,63,0.2216968
8,66,0.2401046
8,69,0.2580232
8,72,0.2753732
8,75,0.2920927
8,78,0.3081357
8,81,0.323469
8,84,0.3380712
8,87,0.3519303
8,90,0.3650427
8,93,0.3774114
8,96,0.3890452
8,99,0.3999573
8,102,0.4101649
8,105,0.4196878
8,108,0.4285483
8,111,0.4367703
8,114,0.444379
8,117,0.4514003
8,120,0.4578606
8,135,0.4826733
8,150,0.4973076
8,165,0.5045304
8,180,0.5065593
8,195,0.5050809
8,210,0.5013309
8,225,0.4961881
8,240,0.490262
8,255,0.4839656
8,270,0.4775725
8,285,0.4712587
8,300,0.465132
8,315,0.4592536
8,330,0.4536526
8,345,0.4483363
8,360,0.4432984
8,375,0.4385238
8,390,0.433993
8,405,0.4296847
8,420,0.4255776
8,435,0.4216516
8,450,0.4178882
8,465,0.4142708
8,480,0.4107851
8,495,0.4074185
8,510,0.4041603
8,525,0.4010012
8,540,0.3979331
8,555,0.3949494
8,570,0.3920442
8,585,0.3892123
8,600,0.3864494
8,615,0.3837516
8,630,0.3811155
8,645,0.378538
8,660,0.3760163
8,675,0.373548
8,690,0.3711309
8,705,0.3687628
8,720,0.3664418
8,735,0.3641661
8,750,0.3619339
8,765,0.3597437
8,780,0.357594
8,795,0.3554833
8,810,0.3534101
8,825,0.3513733
8,840,0.3493714
8,855,0.3474032
8,870,0.3454676
8,885,0.3435634
8,900,0.3416893
8,915,0.3398445
8,930,0.3380277
8,945,0.3362379
8,960,0.3344742
8,975,0.3327355
8,990,0.3310209
8,1005,0.3293294
8,1020,0.3276601
8,1035,0.3260123
8,1050,0.3243849
8,1065,0.3227771
8,1080,0.3211882
8,1095,0.3196173
8,1110,0.3180636
8,1125,0.3165265
8,1140,0.3150052
8,1155,0.3134988
8,1170,0.3120069
8,1185,0.3105286
8,1200,0.3090633
8,1215,0.3076105
8,1230,0.3061694
8,1245,0.3047395
8,1260,0.3033202
8,1275,0.301911
8,1290,0.3005112
8,1305,0.2991205
8,1320,0.2977382
8,1335,0.2963639
8,1350,0.2949972
8,1365,0.2936374
8,1380,0.2922843
8,1395,0.2909375
8,1410,0.2895964
8,1425,0.2882607
8,1440,0.2869301
9,0,0
9,3,4.245738E-08
9,6,1.880571E-06
9,9,1.26955E-05
9,12,4.51169E-05
9,15,0.0001159875
9,18,0.0002447467
9,21,0.0004517497
9,24,0.0007567787
9,27,0.001177792
9,30,0.001729945
9,33,0.00242491
9,36,0.003270508
9,39,0.004270622
9,42,0.005425366
9,45,0.006731442
9,48,0.008182617
9,51,0.009770269
9,54,0.01148393
9,57,0.01331183
9,60,0.01524132
9,63,0.01725935
9,66,0.01935272
9,69,0.02150843
9,72,0.02371383
9,75,0.02595681
9,78,0.02822589
9,81,0.03051034
9,84,0.03280016
9,87,0.03508618
9,90,0.03736001
9,93,0.03961406
9,96,0.04184152
9,99,0.04403632
9,102,0.04619312
9,105,0.04830723
9,108,0.05037464
9,111,0.05239192
9,114,0.0543562
9,117,0.05626512
9,120,0.05811681
9,135,0.06647947
9,150,0.07333804
9,165,0.07878474
9,180,0.08298912
9,195,0.08615415
9,210,0.08848484
9,225,0.09016716
9,240,0.09135641
9,255,0.09217668
9,270,0.09272237
9,285,0.09306309
9,300,0.09324899
9,315,0.09331616
9,330,0.09329078
9,345,0.09319232
9,360,0.09303559
9,375,0.09283227
9,390,0.09259181
9,405,0.09232193
9,420,0.09202913
9,435,0.09171886
9,450,0.09139574
9,465,0.09106368
9,480,0.09072602
9,495,0.09038558
9,510,0.09004474
9,525,0.08970552
9,540,0.0893696
9,555,0.08903838
9,570,0.08871302
9,585,0.08839448
9,600,0.08808352
9,615,0.08778076
9,630,0.08748665
9,645,0.08720158
9,660,0.08692577
9,675,0.08665939
9,690,0.08640252
9,705,0.08615518
9,720,0.08591732
9,735,0.08568884
9,750,0.08546961
9,765,0.08525944
9,780,0.08505812
9,795,0.08486541
9,810,0.08468105
9,825,0.08450475
9,840,0.08433621
9,855,0.08417511
9,870,0.08402112
9,885,0.08387391
9,900,0.08373313
9,915,0.08359843
9,930,0.08346946
9,945,0.08334585
9,960,0.08322725
9,975,0.08311332
9,990,0.08300368
9,1005,0.08289799
9,1020,0.0827959
9,1035,0.08269706
9,1050,0.08260114
9,1065,0.08250778
9,1080,0.08241667
9,1095,0.08232749
9,1110,0.0822399
9,1125,0.0821536
9,1140,0.08206831
9,1155,0.0819837
9,1170,0.0818995
9,1185,0.08181544
9,1200,0.08173123
9,1215,0.08164661
9,1230,0.08156134
9,1245,0.08147516
9,1260,0.08138785
9,1275,0.08129916
9,1290,0.08120888
9,1305,0.0811168
9,1320,0.08102271
9,1335,0.08092642
9,1350,0.08082775
9,1365,0.08072651
9,1380,0.08062255
9,1395,0.08051569
9,1410,0.08040578
9,1425,0.08029269
9,1440,0.08017626
10,0,0
10,3,6.537232E-07
10,6,2.331324E-05
10,9,0.0001455109
10,12,0.0004966897
10,15,0.001243132
10,18,0.002565541
10,21,0.004634739
10,24,0.007591783
10,27,0.01153496
10,30,0.01651413
10,33,0.02253143
10,36,0.02954653
10,39,0.03748441
10,42,0.04624436
10,45,0.05570872
10,48,0.06575072
10,51,0.076241
10,54,0.0870527
10,57,0.09806525
10,60,0.109167
10,63,0.1202569
10,66,0.131245
10,69,0.1420531
10,72,0.1526143
10,75,0.1628727
10,78,0.1727826
10,81,0.1823073
10,84,0.191419
10,87,0.2000972
10,90,0.2083282
10,93,0.2161039
10,96,0.2234216
10,99,0.2302826
10,102,0.2366919
10,105,0.2426576
10,108,0.2481902
10,111,0.2533022
10,114,0.2580076
10,117,0.2623219
10,120,0.266261
10,135,0.2809243
10,150,0.2887453
10,165,0.2916374
10,180,0.291159
10,195,0.2885003
10,210,0.2845331
